plate,type,age,replate,wells
5500000013,fish_og,18,2019-05-17,all
5500000014,fish_og,32,2019-05-17,all
5500000171,fish_bonus,32,2019-05-24,all
5500000172,fish_bonus,18,2019-05-24,all
5500000075,fish_actn2,25,2019-05-17,B3
5500000322,fish_actn2,25,2020-09-08,
5500000323,fish_actn2,25,2020-08-28,
5500000096,live,18,2019-05-17,
5500000094,live,19,2019-05-17,
5500000104,live,19,2019-05-21,
5500000105,live,19,2019-05-21,
5500000111,live,19,2019-05-24,
5500000113,live,19,2019-05-24,
5500000103,live,25,2019-05-21,
5500000102,live,26,2019-05-21,
5500000099,live,33,2019-05-17,
5500000110,live,26,2019-05-24,
5500000101,live,32,2019-05-21,
5500000114,live,32,2019-05-24,
5500000116,live,19,2019-06-04,
5500000117,live,18,2019-06-04,
5500000128,live,18,2020-06-07,
5500000119,live,26,2019-06-04,
5500000118,live,26,2019-06-04,
5500000124,live,25,2020-06-07,
5500000127,live,25,2020-06-07,
5500000120,live,33,2019-06-04,
5500000115,live,33,2019-06-04,
